Pressmark	Institute id
Pel. Mi 13	BNF
Pel. Mi 14	BNF
Pel. Mi 15	BNF
Pel. Mi 16	BNF
Pel. Mi 17	BNF
Pel. Mi 18	BNF
Pel. Mi 19	BNF
Pel. Mi 2	BNF
Pel. Mi 20	BNF
Pel. Mi 21	BNF
Pel. Mi 22	BNF
Pel. Mi 23	BNF
Pel. Mi 24	BNF
Pel. Mi 25	BNF
Pel. Mi 26	BNF
Pel. Mi 27	BNF
Pel. Mi 28	BNF
Pel. Mi 29	BNF
Pel. Mi 3	BNF
Pel. Mi 30	BNF
Pel. Mi 31	BNF
Pel. Mi 32	BNF
Pel. Mi 33	BNF
Pel. Mi 34	BNF
Pel. Mi 35	BNF
Pel. Mi 36	BNF
Pel. Mi 37	BNF
Pel. Mi 38	BNF
Pel. Mi 4	BNF
Pel. Mi 40	BNF
Pel. Mi 41	BNF
Pel. Mi 42	BNF
Pel. Mi 43	BNF
Pel. Mi 44	BNF
Pel. Mi 45	BNF
Pel. Mi 46	BNF
Pel. Mi 47	BNF
Pel. Mi 48	BNF
Pel. Mi 49	BNF
Pel. Mi 5	BNF
Pel. Mi 50	BNF
Pel. Mi 51	BNF
Pel. Mi 52	BNF
Pel. Mi 53	BNF
Pel. Mi 54	BNF
Pel. Mi 55	BNF
Pel. Mi 56	BNF
Pel. Mi 57	BNF
Pel. Mi 58	BNF
Pel. Mi 59	BNF
Pel. Mi 6	BNF
Pel. Mi 60	BNF
Pel. Mi 61	BNF
Pel. Mi 62	BNF
Pel. Mi 63	BNF
Pel. Mi 64	BNF
Pel. Mi 65	BNF
Pel. Mi 66	BNF
Pel. Mi 67	BNF
Pel. Mi 68	BNF
Pel. Mi 69	BNF
Pel. Mi 7	BNF
Pel. Mi 70a	BNF
Pel. Mi 70b	BNF
Pel. Mi 70c	BNF
Pel. Mi 70d	BNF
Pel. Mi 70e	BNF
Pel. Mi 71a	BNF
Pel. Mi 71b	BNF
Pel. Mi 71c	BNF
Pel. Mi 71d	BNF
Pel. Mi 71e	BNF
Pel. Mi 71f	BNF
Pel. Mi 71g	BNF
Pel. Mi 71h	BNF
Pel. Mi 71i	BNF
Pel. Mi 71j	BNF
Pel. Mi 71k	BNF
Pel. Mi 71l	BNF
Pel. Mi 71m	BNF
Pel. Mi 71n	BNF
Pel. Mi 71o	BNF
Pel. Mi 72	BNF
Pel. Mi 73a	BNF
Pel. Mi 73b	BNF
Pel. Mi 74	BNF
Pel. Mi 75	BNF
Pel. Mi 76	BNF
Pel. Mi 77	BNF
Pel. Mi 78	BNF
Pel. Mi 79	BNF
Pel. Mi 8	BNF
Pel. Mi 80	BNF
Pel. Mi 9	BNF
Pel. S 1	BNF
Pelliot chinois 2013	BNF
SyrHT343	BBAW
test	BL
WD 4317 f.12	BL
WD 4317 f.1a	BL
WD 4317 f.2	BL
WD 4317 f.4	BL
180.5	BL
pressmark(all)	MG
AP 7842	MG
AP 7843	MG
AP 7844	MG
AP 7845	MG
AP 7846	MG
AP 7847	MG
AP 7848	MG
AP 7849	MG
AP 7850	MG
AP 7851	MG
AP 7852	MG
AP 7853	MG
AP 7854	MG
AP 7855	MG
AP 7856	MG
AP 7857	MG
AP 7858	MG
AP 7859	MG
AP 7860	MG
AP 7861	MG
AP 7862	MG
AP 7863	MG
AP 7864	MG
AP 7865	MG
AP 7866	MG
AP 7867	MG
AP 7868	MG
AP 7869	MG
AP 7870	MG
AP 7871	MG
AP 7872	MG
AP 7873	MG
AP 7874	MG
AP 7875	MG
AP 7876	MG
AP 7877	MG
AP 7878	MG
AP 7879	MG
AP 7880	MG
AP 7881	MG
AP 7882	MG
AP 7883	MG
AP 7884	MG
AP 7885	MG
AP 7886	MG
AP 7887	MG
AP 7888	MG
AP 7889	MG
AP 7890	MG
AP 7891	MG
AP 7892	MG
AP 7893	MG
AP 7894	MG
AP 7895	MG
AP 7896	MG
AP 7897	MG
AP 7898	MG
AP 7899	MG
AP 7900	MG
AP 7901	MG
AP 7902	MG
AP 7903	MG
AP 7904	MG
AP 7905	MG
AP 7906	MG
AP 7907	MG
AP 7908	MG
AP 7909	MG
AP 7910	MG
AP 7911	MG
AP 7912	MG
AP 7913	MG
AP 7914	MG
AP 7915	MG
AP 7916	MG
AP 7917	MG
AP 7918	MG
AP 7919	MG
AP 7920	MG
AP 7921	MG
AP 7922	MG
AP 7923	MG
AP 7924	MG
AP 7925	MG
AP 7926	MG
AP 7927	MG
AP 7928	MG
AP 7929	MG
AP 7930	MG
AP 7931	MG
AP 7932	MG
AP 7933	MG
AP 7934	MG
AP 7935	MG
AP 7936	MG
AP 7937	MG
AP 7938	MG
AP 7939	MG
AP 7940	MG
AP 7941	MG
AP 7942	MG
AP 7943	MG
AP 7944	MG
AP 7945	MG
AP 7946	MG
AP 7947	MG
AP 7948	MG
AP 7949	MG
AP 7950	MG
AP 7951	MG
AP 7952	MG
AP 7953	MG
AP 7954	MG
AP 7955	MG
AP 7956	MG
AP 7957	MG
AP 7958	MG
AP 7960	MG
AP 7961	MG
AP 7962	MG
AP 7963	MG
AP 7964	MG
AP 7965	MG
AP 7966	MG
AP 7967	MG
AP 7968	MG
AP 7969	MG
AP 7970	MG
AP 7971	MG
AP 7972	MG
AP 7973	MG
AP 7974	MG
AP 7975	MG
AP 7976	MG
AP 7977	MG
AP 7978	MG
AP 7979	MG
AP 7980	MG
AP 7981	MG
AP 7982	MG
AP 7983	MG
AP 7984	MG
AP 7985	MG
AP 7986	MG
AP 7987	MG
AP 7988	MG
AP 7989	MG
AP 7990	MG
AP 7991	MG
AP 7992	MG
AP 7993	MG
AP 7994	MG
AP 7995	MG
AP 7996	MG
AP 7997	MG
AP 7998	MG
AP 7999	MG
AP 8000	MG
AP 8001	MG
AP 8002	MG
AP 8003	MG
AP 8004	MG
AP 8005	MG
AP 8006	MG
AP 8007	MG
AP 8008	MG
AP 8009	MG
AP 8010	MG
AP 8011	MG
AP 8012	MG
AP 8013	MG
AP 8014	MG
AP 8015	MG
AP 8016	MG
AP 8017	MG
AP 8018	MG
AP 8019	MG
AP 8020	MG
AP 8021	MG
AP 8022	MG
AP 8023	MG
AP 8024	MG
AP 8025	MG
AP 8026	MG
AP 8027	MG
AP 8028	MG
AP 8029	MG
AP 8030	MG
AP 8031	MG
AP 8032	MG
AP 8033	MG
AP 8034	MG
AP 8035	MG
AP 8036	MG
AP 8037	MG
AP 8038	MG
AP 8039	MG
AP 8040	MG
AP 8041	MG
AP 8042	MG
AP 8043	MG
AP 8044	MG
AP 8045	MG
AP 8046	MG
AP 8047	MG
AP 8048	MG
AP 8049	MG
AP 8050	MG
AP 8051	MG
AP 8052	MG
AP 8053	MG
AP 8054	MG
AP 8055	MG
AP 8056	MG
AP 8057	MG
AP 8058	MG
AP 8059	MG
AP 8060	MG
AP 8061	MG
AP 8062	MG
AP 8063	MG
AP 8064	MG
AP 8065	MG
AP 8066	MG
AP 8067	MG
AP 8068	MG
AP 8069	MG
AP 8070	MG
AP 8071	MG
AP 8072	MG
AP 8073	MG
AP 8074	MG
AP 8075	MG
AP 8076	MG
AP 8077	MG
AP 8078	MG
AP 8079	MG
AP 8080	MG
AP 8081	MG
AP 8082	MG
AP 8083	MG
AP 8084	MG
AP 8085	MG
AP 8086	MG
AP 8087	MG
AP 8088	MG
AP 8089	MG
AP 8090	MG
AP 8091	MG
AP 8092	MG
AP 8093	MG
AP 8094	MG
AP 8095	MG
AP 8096	MG
AP 8097	MG
AP 8098	MG
AP 8099	MG
AP 8100	MG
AP 8101	MG
AP 8102	MG
AP 8103	MG
AP 8104	MG
AP 8105	MG
AP 8106	MG
AP 8107	MG
AP 8108	MG
AP 8109	MG
AP 8110	MG
AP 8111	MG
AP 8112	MG
AP 8113	MG
AP 8114	MG
AP 8115	MG
AP 8116	MG
AP 8117	MG
AP 8118	MG
AP 8119	MG
AP 8120	MG
AP 8121	MG
AP 8122	MG
AP 8123	MG
AP 8124	MG
AP 8125	MG
AP 8126	MG
AP 8127	MG
AP 8128	MG
AP 8129	MG
AP 8130	MG
AP 8131	MG
AP 8132	MG
AP 8133	MG
AP 8134	MG
AP 8135	MG
AP 8136	MG
AP 8137	MG
AP 8138	MG
AP 8139	MG
AP 8140	MG
AP 8141	MG
AP 8142	MG
AP 8143	MG
AP 8144	MG
AP 8145	MG
AP 8146	MG
AP 8147	MG
AP 8148	MG
AP 8149	MG
AP 8150	MG
AP 8151	MG
AP 8152	MG
AP 8153	MG
AP 8154	MG
AP 8155	MG
AP 8156	MG
AP 8157	MG
AP 8158	MG
AP 8159	MG
AP 8160	MG
AP 8161	MG
AP 8162	MG
AP 8163	MG
AP 8164	MG
AP 8165	MG
AP 8166	MG
AP 8167	MG
AP 8168	MG
AP 8169	MG
AP 8170	MG
AP 8171	MG
AP 8172	MG
AP 8173	MG
AP 8174	MG
AP 8175	MG
AP 8176	MG
AP 8177	MG
AP 8178	MG
AP 8179	MG
AP 8180	MG
AP 8181	MG
AP 8182	MG
AP 8183	MG
AP 8184	MG
AP 8185	MG
AP 8186	MG
AP 8187	MG
AP 8188	MG
AP 8189	MG
AP 8190	MG
AP 8191	MG
AP 8192	MG
AP 8193	MG
AP 8194	MG
AP 8195	MG
AP 8196	MG
AP 8197	MG
AP 8198	MG
AP 8199	MG
AP 8200	MG
AP 8201	MG
AP 8202	MG
AP 8203	MG
AP 8204	MG
AP 8205	MG
AP 8206	MG
AP 8207	MG
AP 8208	MG
AP 8209	MG
AP 8210	MG
AP 8211	MG
AP 8212	MG
AP 8213	MG
AP 8214	MG
AP 8215	MG
AP 8216	MG
AP 8217	MG
AP 8218	MG
AP 8219	MG
AP 8220	MG
AP 8221	MG
AP 8222	MG
AP 8223	MG
AP 8224	MG
AP 8225	MG
AP 8226	MG
AP 8227	MG
AP 8228	MG
AP 8229	MG
AP 8230	MG
AP 8231	MG
AP 8232	MG
AP 8233	MG
AP 8234	MG
AP 8236	MG
AP 8237	MG
AP 8238	MG
AP 8239	MG
AP 8240	MG
AP 8241	MG
AP 8242	MG
AP 8243	MG
AP 8244	MG
AP 8421	MG
AP 8442	MG
AP 8443	MG
AP 8444	MG
AP 8445	MG
AP 8446	MG
AP 8447	MG
AP 8448	MG
AP 8449	MG
AP 8450	MG
AP 8451	MG
AP 8452	MG
AP 8453	MG
AP 8454	MG
AP 8485	MG
AP 8486	MG
AP 8487	MG
AP 8488	MG
AP 8489	MG
AP 8490	MG
AP 8491	MG
AP 8492	MG
AP 8551	MG
AP 8552	MG
AP 8571	MG
AP 8572	MG
AP 8574	MG
AP 8578	MG
AP 8579	MG
AP 8580	MG
AP 8581	MG
AP 8582	MG
AP 8583	MG
AP 8584	MG
AP 8585	MG
AP 8586	MG
AP 8587	MG
AP 8589	MG
MG 17648	MG
MG 17650	MG
MG 17651	MG
MG 17652	MG
MG 17653	MG
MG 17654	MG
MG 17655	MG
MG 17656	MG
MG 17657	MG
MG 17658	MG
MG 17659	MG
MG 17662	MG
MG 17663	MG
MG 17664	MG
MG 17665	MG
MG 17666	MG
MG 17667	MG
MG 17668	MG
MG 17669	MG
MG 17670	MG
MG 17671	MG
MG 17672	MG
MG 17673	MG
MG 17674	MG
MG 17675	MG
MG 17676	MG
MG 17677	MG
MG 17678	MG
MG 17679	MG
MG 17680	MG
MG 17681	MG
MG 17682	MG
MG 17683	MG
MG 17684	MG
MG 17685	MG
MG 17686	MG
MG 17687	MG
MG 17688	MG
MG 17689	MG
MG 17693	MG
MG 17694	MG
MG 17695	MG
MG 17696	MG
MG 17697	MG
MG 17698	MG
MG 17768	MG
MG 17769	MG
MG 17770	MG
MG 17771	MG
MG 17774 a	MG
MG 17774 b	MG
MG 17775	MG
MG 17776	MG
MG 17777	MG
MG 17778	MG
MG 17779	MG
MG 17780	MG
MG 17781	MG
MG 17783	MG
MG 17784	MG
MG 17785	MG
MG 17786	MG
MG 17787	MG
MG 17788	MG
MG 17789	MG
MG 17790	MG
MG 17791	MG
MG 17793	MG
MG 17794	MG
MG 17795	MG
MG 17798	MG
MG 22795	MG
MG 22796	MG
MG 22797	MG
MG 22798	MG
MG 22799	MG
MG 23076	MG
MG 23078	MG
MG 23079	MG
MG 23080	MG
MG 23082	MG
MG 23083	MG
MG 24643	MG
MG 24644	MG
MG 24645	MG
MG 24646	MG
MG 24647	MG
MG 24648	MG
MG 25486	MG
MG 25794	MG
MG 26460	MG
MG 26461	MG
MG 26462	MG
MG 26465	MG
MG 26466	MG
MG 26575	MG
